"observation","specname","latitude","longitude","carp_color"
"6333",260432,"Abortiporus biennis (Bull.) Singer",38.5505,-90.4153,0
"7221",261638,"Abortiporus biennis (Bull.) Singer",45.5099,-122.7185,0
"9415",257397,"Abortiporus biennis (Bull.) Singer",41.25485,-75.94155,0
"11798",254892,"Abortiporus biennis (Bull.) Singer",40.15765,-75.2548,0
"14439",256227,"Abortiporus biennis (Bull.) Singer",42.2923,-83.001,0
"23168",243404,"Abortiporus biennis (Bull.) Singer",37.83345,-90.24205,0
"23355",243169,"Abortiporus biennis (Bull.) Singer",48.1781,-122.6025,0
"24865",241047,"Abortiporus biennis (Bull.) Singer",34.1632,-118.396,0
"25240",240582,"Abortiporus biennis (Bull.) Singer",35.8725,-78.761,0
"34199",227983,"Abortiporus biennis (Bull.) Singer",32.8787,-117.2335,0
"35696",226369,"Abortiporus biennis (Bull.) Singer",36.9882,-121.3825,0
"37598",223937,"Abortiporus biennis (Bull.) Singer",38.68205,-120.9955,0
"41443",220293,"Abortiporus biennis (Bull.) Singer",45.542,-122.664,0
"43004",218326,"Abortiporus biennis (Bull.) Singer",37.86495,-122.2485,0
"45510",216431,"Abortiporus biennis (Bull.) Singer",42.78625,-80.198,0
"46654",215679,"Abortiporus biennis (Bull.) Singer",42.14635,-87.90335,0
"46937",252794,"Abortiporus biennis (Bull.) Singer",39.8039,-84.9701,0
"48422",213703,"Abortiporus biennis (Bull.) Singer",38.87695,-77.019,0
"64759",195759,"Abortiporus biennis (Bull.) Singer",28.1471,-82.23425,0
"65208",195157,"Abortiporus biennis (Bull.) Singer",37.88145,-122.1815,0
"66171",194081,"Abortiporus biennis (Bull.) Singer",37.879,-122.279,0
"48859",213293,"Abortiporus fractipes (Berk. & M.A. Curtis) Gilb. & Ryvarden",42.8341,-80.1493,0
"51403",214244,"Abortiporus fractipes (Berk. & M.A. Curtis) Gilb. & Ryvarden",39.6279,-79.8676,0
"58156",210776,"Abrothallus De Not.",31.87385,-109.283,0
"4444",268133,"Acanthobasidium penicillatum (Burt) Sheng H. Wu",48.5215,-123.4155,0
"58423",227909,"Acarospora affinis K. Knudsen",34.6105,-113.492,0
"75",269955,"Acarospora A. Massal.",37.8579,-121.7645,0
"110",269865,"Acarospora A. Massal.",37.8579,-121.7645,0
"132",269839,"Acarospora A. Massal.",37.8579,-121.7645,0
"7332",260121,"Acarospora A. Massal.",43.3954,-89.72725,0
"26186",240123,"Acarospora A. Massal.",43.3369,-90.3772,0
"30650",234345,"Acarospora A. Massal.",32.6707,-117.2405,0
"32089",230342,"Acarospora A. Massal.",34.14755,-118.757,0
"33636",228545,"Acarospora A. Massal.",34.1467,-118.7595,0
"49660",214226,"Acarospora A. Massal.",44.1532,-88.295,0
"49666",213634,"Acarospora A. Massal.",44.1532,-88.295,0
"52296",211722,"Acarospora A. Massal.",43.79625,-89.33555,0
"57060",205785,"Acarospora A. Massal.",37.80265,-90.7127,0
"57061",205785,"Acarospora A. Massal.",37.80265,-90.7127,0
"58570",204340,"Acarospora A. Massal.",43.1899,-90.2333,0
"58571",204337,"Acarospora A. Massal.",43.1899,-90.2333,0
"63968",196071,"Acarospora A. Massal.",35.5823,-121.12,0
"36870",225067,"Acarospora badiofusca (Nyl.) Th. Fr.",34.11635,-118.761,0
"27748",241497,"Acarospora elevata H. Magn.",35.39,-120.609,0
"23871",242895,"Acarospora fuscata (Schrader) Arnold",43.69765,-90.56095,0
"50304",215540,"Acarospora fuscata (Schrader) Arnold",44.42925,-89.78435,0
"50444",212748,"Acarospora fuscata (Schrader) Arnold",45.0545,-87.1691,0
"84",269906,"Acarospora socialis H. Magn.",37.8579,-121.7645,0
"100",269881,"Acarospora socialis H. Magn.",37.8579,-121.7645,0
"111",269864,"Acarospora socialis H. Magn.",37.8579,-121.7645,0
"115",269857,"Acarospora socialis H. Magn.",37.8579,-121.7645,0
"15105",252493,"Acarospora socialis H. Magn.",37.21335,-118.6465,0
"32088",230343,"Acarospora socialis H. Magn.",34.14755,-118.757,0
"63253",196719,"Acarospora socialis H. Magn.",38.4343,-123.1225,0
"49056",227364,"Acarospora stapfiana (Müll. Arg.) Hue",42.3672,-108.1855,0
"32082",230375,"Acarospora veronensis A. Massal.",34.14755,-118.757,0
"28559",237836,"Acrocordia A. Massal.",30.3364,-97.891,0
"27863",261330,"Acrocordia megalospora (Fink) R.C. Harris",43.38805,-89.7525,0
"472",269512,"Acrospermum Tode",34.39395,-82.3511,0
"2735",266164,"Agaricaceae Chevall.",33.3284,-118.348,0
"10814",262393,"Agaricaceae Chevall.",48.20645,-122.6215,0
"16600",254037,"Agaricaceae Chevall.",35.1678,-106.712,0
"18850",247842,"Agaricaceae Chevall.",33.98445,-84.2499,0
"36070",225914,"Agaricaceae Chevall.",37.769,-122.4835,0
"42052",219422,"Agaricaceae Chevall.",26.47105,-81.76265,0
"46784",215311,"Agaricaceae Chevall.",33.991,-83.4954,0
"7",270086,"Agaricales sensu lato",33.39245,-118.382,0
"10",270082,"Agaricales sensu lato",33.39245,-118.382,0
"437",269459,"Agaricales sensu lato",37.80725,-122.158,0
"541",269308,"Agaricales sensu lato",33.86395,-118.397,0
"571",269258,"Agaricales sensu lato",39.13705,-121.048,0
"685",268908,"Agaricales sensu lato",33.3423,-118.4355,0
"804",268704,"Agaricales sensu lato",37.52835,-121.828,0
"817",268690,"Agaricales sensu lato",37.52835,-121.828,0
"1073",268618,"Agaricales sensu lato",33.3553,-118.3975,0
"1159",268167,"Agaricales sensu lato",33.3553,-118.3975,0
"1222",268116,"Agaricales sensu lato",41.25305,-76.04695,0
"1560",267572,"Agaricales sensu lato",37.51575,-122.072,0
"1791",267512,"Agaricales sensu lato",33.9993,-84.2356,0
"1845",267272,"Agaricales sensu lato",33.4041,-118.4155,0
"1872",267616,"Agaricales sensu lato",37.7823,-122.4945,0
"1889",267181,"Agaricales sensu lato",33.43935,-118.497,0
"1935",267093,"Agaricales sensu lato",32.9162,-116.8955,0
"1939",267089,"Agaricales sensu lato",32.9162,-116.8955,0
"1948",267080,"Agaricales sensu lato",32.9162,-116.8955,0
"2143",267539,"Agaricales sensu lato",38.39665,-122.8355,0
"2144",267538,"Agaricales sensu lato",38.39665,-122.8355,0
"2190",266820,"Agaricales sensu lato",34.0953,-118.65,0
"2340",267072,"Agaricales sensu lato",32.78595,-116.988,0
"2341",267071,"Agaricales sensu lato",32.78595,-116.988,0
"2429",266809,"Agaricales sensu lato",37.72315,-122.0545,0
"2439",266556,"Agaricales sensu lato",37.72315,-122.0545,0
"2637",266213,"Agaricales sensu lato",33.03135,-117.247,0
"2738",266160,"Agaricales sensu lato",33.3284,-118.348,0
"2756",266085,"Agaricales sensu lato",33.3284,-118.348,0
"3165",266900,"Agaricales sensu lato",38.4245,-120.642,0
"3166",266899,"Agaricales sensu lato",38.4245,-120.642,0
"3180",266879,"Agaricales sensu lato",38.4245,-120.642,0
"3189",266691,"Agaricales sensu lato",38.4245,-120.642,0
"3191",266684,"Agaricales sensu lato",38.4245,-120.642,0
"3399",265576,"Agaricales sensu lato",37.86305,-122.22,0
"3520",265302,"Agaricales sensu lato",38.8633,-110.197,0
