"observation","specname","north","west","east","south","hemisphere","latitude","longitude","carp_color","spore_color","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","t_texture","drainage","ref_depth","awc_class","phase1","phase2","roots","il","swr","add_prop","t_gravel","t_sand","t_silt","t_clay","t_usda_tex_class","t_ref_bulk_density","t_bulk_density","t_oc","t_ph_h2o","t_cec_clay","t_cec_soil","t_bs","t_teb","t_caco3","t_caso4","t_esp","t_ece","s_gravel","s_sand","s_silt","s_clay","s_usda_tex_class","s_ref_bulk_density","s_bulk_density","s_oc","s_ph_h2o","s_cec_clay","s_cec_soil","s_bs","s_teb","s_caco3","s_caso4","s_esp","s_ece","FOR_2000","GRS_2000","NVG_2000","sq1","sq2","sq3","sq4","sq5","sq6","sq7","URB_2000","WAT_2000"
"3895",196672,"Agaricales sensu lato",42.2515,123.381,123.282,42.1883,"WN",42.2199,-123.3315,0,0,105,155,48,5904,304,-17,321,38,183,183,35,878,165,7,74,459,40,40,420,2,4,100,4,1,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,74.4803161621094,10.6767473220825,0,3,2,2,1,1,1,2,0,0
"13587",10575,"Agaricales sensu lato",45.8113,77.1485,77.131,45.7883,"WN",45.7998,-77.13975,0,0,53,113,25,10986,266,-169,435,187,-83,187,-96,824,83,50,15,238,161,238,172,1,6,100,5,1,NA,NA,NA,NA,0,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,0,2,0.1,27.1340274810791,9.80054569244385,0,3,3,2,1,1,1,2,19.114200592041,3.200199842453
"4594",180408,"Agaricus abruptibulbus Peck",47.4094,120.627,120.603,47.3798,"WN",47.3946,-120.615,0,0,49,112,34,7363,233,-91,324,-38,142,143,-44,813,142,16,63,400,73,74,367,2,4,100,3,1,NA,NA,NA,NA,0,4,46,43,11,9,1.51,0.87,4.38,5.9,138,24,57,5.2,0,0,1,0.1,10,56,32,12,11,1.51,0.91,1.47,6,155,17,57,8,0,0,2,0.1,66.7465362548828,28.2358245849609,0,1,1,1,1,1,1,1,0.0266999993473291,0
"10108",74559,"Agaricus augustus Fr.",36.902,121.72,121.702,36.8817,"WN",36.89185,-121.711,0,0,141,125,59,3019,247,36,211,100,173,177,100,500,101,2,88,264,7,11,264,2,4,100,1,NA,NA,NA,NA,NA,0,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,0,1,0.1,39.4516868591309,5.92326736450195,0,1,1,1,1,1,1,1,0,0
"1599",243082,"Agaricus auricolor L. Krieg",36.3549,78.6122,78.5552,36.2849,"WN",36.3199,-78.5837,0,0,143,132,38,7756,315,-30,345,242,97,242,41,1123,113,78,11,318,252,318,266,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,18.589319229126,4.41154766082764,0,3,2,1,1,1,1,1,7.68319988250732,0
"12502",60098,"Agaricus L.",36.1104,86.5757,86.4936,36.0599,"WN",36.08515,-86.53465,0,0,145,128,36,8202,319,-32,351,143,205,248,36,1232,128,69,14,350,248,291,331,2,4,100,1,NA,NA,NA,NA,NA,0,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,0,1,0.1,41.6185836791992,26.7673149108887,0,1,1,1,1,1,1,1,2.43229985237122,10.7496995925903
"12948",25171,"Agaricus L.",37.9932,92.8068,92.7326,37.9487,"WN",37.97095,-92.7697,0,0,135,132,33,8995,326,-66,392,184,12,246,12,1060,126,40,26,331,161,287,161,2,4,100,1,NA,NA,NA,NA,NA,0,23,53,22,25,10,1.4,1.4,0.98,5.1,14,6,49,2.7,0,0,2,0.1,19,41,20,39,5,1.31,1.4,0.39,5,12,6,33,1.3,0,0,2,0.1,85.0603256225586,8.12070941925049,0,3,2,1,1,1,1,1,0.909199953079224,0
"7090",138259,"Agaricus sect. Arvenses (Konrad & Maubl.) Konrad & Maubl.",47.4094,120.627,120.603,47.3798,"WN",47.3946,-120.615,0,0,49,112,34,7363,233,-91,324,-38,142,143,-44,813,142,16,63,400,73,74,367,2,4,100,3,1,NA,NA,NA,NA,0,4,46,43,11,9,1.51,0.87,4.38,5.9,138,24,57,5.2,0,0,1,0.1,10,56,32,12,11,1.51,0.91,1.47,6,155,17,57,8,0,0,2,0.1,66.7465362548828,28.2358245849609,0,1,1,1,1,1,1,1,0.0266999993473291,0
"14020",2776,"Agrocybe praecox (Pers.) Fayod",38.4582,122.671,122.663,38.4496,"WN",38.4539,-122.667,0,0,140,144,57,4061,280,28,252,88,187,190,88,850,186,1,90,475,11,16,475,2,4,100,1,NA,NA,NA,NA,NA,0,7,39,38,23,9,1.38,1.33,1.83,6.4,55,18,87,11.4,0,0,1,0.1,3,43,35,22,9,1.4,1.39,0.64,6.8,64,16,92,12.2,0,0,1,0.1,44.2629776000977,4.35382318496704,0,1,1,1,1,1,1,1,47.3722991943359,0
"643",253531,"Amanita abrupta Peck",42.0629,78.7167,78.6276,41.9993,"WN",42.0311,-78.67215,0,0,62,119,32,8855,250,-119,369,171,-47,171,-57,1147,126,66,17,338,217,338,231,2,4,100,1,8,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,90.9170608520508,8.94283962249756,0,2,2,1,1,1,1,1,0.130115702748299,0
