x,
abrupta,
aestivalis,albocreata
alba,altipes
alba,aprica
alba,armeniaca
amerifulva,augusta
amerirubescens,breckonii
ananiceps,eliae
aprica,farinosa
arkansana,frostiana
arocheae,gemmata
atkinsoniana,ibotengutake
augusta,muscaria
australis,multisquamosa
basii,nehuta
bisporigera,parcivolvata
brunnescens,pantherina
caesarea,parvipantherina
calyptrata,petalinivolva
calyptratoides,regalis
calyptroderma,roseotincta
ceciliae,rubrovolvata
chlorinosma,velatipes
citrina,virgineoides
cokeri,viscidolutea
constricta,welsii
crocea,xanthocephala
daucipes,argentea
elongata,battarae
excelsa,beckeri
fallax,ceciliae
farinosa,crocea
flavivolvata,fulv
flavoconia,liquii
flavorubens,lividopallescens
flavorubescens,nivalis
formosa,orientifulva
fulva,pachycolea
gemmata,pekeoides
gemmata,sinicoflava
guessowii,submembranacea
inquinata,vaginata
jacksonii,velosa
junquillea,basii
karea,caesarea
laurae,caesareoides
macrocarpa,chepangiana
magniverrucata,hemibapha
mairei,jacksonii
multisquamosa,lanei
murrilliana,spreta
muscaria,zambiana
muscaria,arocheae
nauseosa,bisporigera
nehuta,exitialis
nigrescens,fuliginea
nothofagi,magnivelaris
novinupta,marmorata
ocreata,manginiana
onusta,ocreata
pachycolea,pseudoporphyria
pantherina,phalloides
parcivolvata,subjunquillea
pareparina,verna
pekeoides,virosa
pelioma,virosiformis
persicina,aestivalis
persicina,australis
phalloides,brunnescens
polypyramis,brunneolocularis
protecta,citrina
ridley,excelsa
rubescens,flavella
silvicola,flavoconia
sinicoflava,flavorubens
smithiana,franchetii
solaniolens,luteofusca
sororcula,nothofagi
spissa,novinupta
taiepa,porphyria
tecomate,rubescens
thiersii,abrupta
tullossii,atkinsoniana
tuza,austroviridis
vaginata,ananaeceps
velatipes,cinereovelata
velosa,cokeri
vernicoccora,daucipes
virosa,marcrocarpa
vittadinii,magniverrucata
wellsii,onusta
xylinivolva,ravenelii
yema,rohopalopus
,smithiana
,solitaria
,sphaerobulbosa
,strobiliformis
,curtipes
,lepiotoides
,ovoidea
