spec,carp_col,spor_col,comment
 Amanita alliiodora Pat.,white,,
Amanita whetstoneae Tulloss Goldman and Kudzma nom. Prov,white,,
Amanita abrupta Peck,white,white,
Amanita aestivalis Singer ex Singer,white,,
Amanita alba sensu auct. calif.                              ,white,,
Amanita albemarlensis Tulloss & Kudzma nom. prov.,grey,,
Amanita albiceps Y. Lamoureux nom. Prov.,white,,
Amanita albocreata (G.F. Atk.) E.-J. Gilbert,white,white,
Amanita alpina A.H. Sm. nom. prov.,,,
Amanita alpinicola Cripps and J. Lindgr. nom. prov.,,,
Amanita americitrina Tulloss nom. Prov.,white,,
Amanita americrocea group,brown,,
Amanita amerifulva group,brown,white,
Amanita amerifulva Tulloss nom. prov.,brown,,
Amanita ameripanthera group,brown,,
Amanita ameripanthera Tulloss nom. prov.,brown,,
Amanita amerirubescens group,brown,white,
Amanita amerirubescens Tulloss nom. prov.,brown,white,yellow dot
Amanita amerivirosa Tulloss nom. prov.,white,,
Amanita ananiceps (Berk.) Sacc.,white,,
Amanita aprica group,yellow,,
Amanita aprica J. Lindgr. & Tulloss,yellow,white,
Amanita argentea Huijsman,grey,,
Amanita arkansana H.R. Rosen,yellow,white,
Amanita arocheae Tulloss Ovrebo & Halling,grey,,
Amanita atkinsoniana Coker,white,white,
Amanita augusta Bojantchev & R.M. Davis,brown,white,
Amanita augusta Bojantchev & R.M. Davis,brown,white,
Amanita aureofloccosa Bas,yellow,,
Amanita aureosylvatica Tulloss Rodrig.-Cayc. Morales-Tor. & Ovrebo nom. Prov.,yellow,,
Amanita australis G. Stev.,brown,,
Amanita austropulchella f. mcalpiniana (Cleland & Cheel) D.A. Reid,yellow,,
Amanita austrostraminea D.A. Reid,white,,
Amanita avellanea (Traverso 1999) Neville & Poumarat 2009,,,
Amanita baccata sensu Arora,white,,
Amanita badia (Schaeff.) Bon & Contu,brown,,
Amanita banningiana Tulloss nom. prov.,orange,white,
Amanita barrowsii A.H. Sm. nom. ms.,brown,white,
Amanita basii GuzmÃ¡n & Ram.-Guill.,red,,
Amanita basii Guzmán & Ram.-Guill.,red,,
Amanita battarrae (Boud.) Bon,grey,,
Amanita beckeri Huijsman,grey,,
Amanita bisporigera G.F. Atk.,white,,
Amanita bisporigera group,white,,
Amanita boudieri Barla,white,,
Amanita boudieri var. beillei,white,,
Amanita breckonii Thiers & Ammirati,brown,,
Amanita brunneibulbosa O.K. Mill.,brown,,
Amanita brunnescens f. straminea E.-J. Gilbert          ,,,
Amanita brunnescens G.F. Atk.,brown,,
Amanita cacaina Tulloss nom. prov.,,,?
Amanita caesarea (Scop. : Fr.) Pers.,orange,,
Amanita caesarea group,red,,
Amanita caesareoides Lj.N. Vassiljeva,,,
Amanita cahokiana Tulloss and Sanchez-RamÃrez nom. prov,orange,,
Amanita cahokiana Tulloss and Sanchez-Ramírez nom. Prov.,orange,,
Amanita calyptratoides Peck,white,,
Amanita calyptroderma G.F. Atk. & V.G. Ballen,brown,white,
Amanita calyptroderma G.F. Atk. & V.G. Ballen,brown,white,
Amanita canescens Dav. T. Jenkins,white,,
Amanita carneiphylla O.K. Mill.,white,,
Amanita cattaraugana Tulloss & Kudzma nom. prov.,brown,,
Amanita ceciliae (Berk. & Broome) Bas,brown,,
Amanita ceciliae group,brown,,
Amanita ceciliae sensu auct. amer.,brown,,
Amanita chlorinosma (Peck) Lloyd,white,,
Amanita chrysoblema G.F. Atk.,,,
Amanita cinereoconia G.F. Atk.,white,,
Amanita cinereopannosa Bas,white,,
Amanita cistetorum Contu & Pacioni,brown,,
Amanita citrina (Schaeff.) Pers.,white,white,
Amanita citrina f. alba,white,,
Amanita citrina var. grisea (Hongo) Hongo,grey,,
Amanita clarisquamosa (S. Imai) S. Imai,,,
Amanita cochiseana Tulloss nom. prov.,brown,,
Amanita cokeri (E.-J. Gilbert & KÃ¼hner) E.-J. Gilbert,white,white,
Amanita cokeri (E.-J. Gilbert & Kühner) E.-J. Gilbert,white,white,
Amanita constricta group,grey,,
Amanita constricta Thiers & Ammirati,grey,white,
Amanita crenulata group,,,
Amanita crenulata Peck,brown,,
Amanita crocea (QuÃ©l. in Bourd.) Singer ex Singer,brown,white,
Amanita crocea (Quél. in Bourd.) Singer ex Singer,brown,,
Amanita crocea group,orange,,
Amanita crocea sensu auct. amer. group,orange,,
Amanita cruetilemurum Tulloss & Rodr. Cayc. nom. prov.,,,
Amanita curtipes E.-J. Gilbert,,,
Amanita cylindrispora Beardslee,,,
Amanita daucipes (Mont.) Lloyd,white,white,
Amanita diemii Singer,brown,,
Amanita dolichopus Tulloss nom. prov.,,,
Amanita dryophila Consiglio & Contu,,,
Amanita dulciarii Tulloss nom. prov.,brown,,
Amanita egregia sensu A.E. Wood,white,,
Amanita eliae Quél.,white,,
Amanita elliptosperma G.F. Atk.,white,,
Amanita elongata Peck,yellow,,
Amanita elongatior Y. Lamoureux nom. prov.,,,
Amanita excelsa (Fr. : Fr.) Bertillon,grey,,
Amanita excelsa sensu Coker,,,
Amanita excelsa var. spissa,,,
Amanita fallax Tulloss & G. Wright nom. prov.,brown,,
Amanita farinacea (Cooke) Cleland & Cheel,white,,
Amanita farinosa Schwein.,grey,,
Amanita farinosa sensu auct. Pacific Northwest states,,,
